Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,3/29/18,8:32:33,278101 I15 NB; MM 278 I15 NB                                ,PD Crash,2,5,11.23333334,674.0000004,0:03:50,3.83,230,7.450000002,447.0000001,2.008214033,36.83333334,2210,3.606403232,40.67,2440,7.799753318,5,1,4,1,0.8,0.2,5988,8.697512746,166.39,5.11,3677.69,8.21,AM Peak,0:40,40,2400,3.688879454,0:55,55,3300,4.007333185,0:15,15,900,2.708050201,,,
2018,3/29/18,14:32:33,2700 S I15 NB                                               ,PD Crash,2,2,12.25,735,0:23:48,23.8,1428,46,2760,3.828641396,46,2760,3.828641396,45.97,2758,7.922261058,4,1,3,1,0.75,0.25,8455,9.042513261,272.25,5.61,7313.97,8.9,Afternoon Off Peak,,-1,-60,,0:55,55,3300,4.007333185,0:56,56,3360,4.025351691,1,60,0
2018,3/29/18,17:48:02,8000 S I15 SB                                               ,PI Crash,1,3,11.58333334,695.0000004,0:06:49,6.82,409,66.96666667,4018,4.204194983,72.85,4371,4.288402533,75.17,4510,8.414052432,4,3,1,1.35,0.66,0.75,10240,9.234056899,1180.06,7.07,28641.43,10.26,PM Peak,0:15,15,900,2.708050201,1:25,85,5100,4.442651256,1:10,70,4200,4.248495242,,,
2018,4/2/18,9:20:28,7200 S I15 NB                                               ,PD Crash,3,4,12.81666667,769.0000002,0:05:58,5.97,358,15.53333333,931.9999998,2.742988252,106.75,6405,4.670489652,106.63,6398,8.763740721,5,4,1,1.58,0.68,0.8,11478,9.348187439,2153.62,7.67,57856.79,10.97,Afternoon Off Peak,1:34,94,5640,4.543294782,1:50,110,6600,4.700480366,0:16,16,960,2.772588722,,,
2018,4/3/18,15:10:17,8800 S I15 NB                                               ,PD Crash,1,1,8.1,486,0:11:39,11.65,699,14.71666667,883.0000002,2.688980639,33.11666667,1987,3.50003668,87.93,5276,8.570923514,4,2,2,1.39,0.65,0.5,9550,9.164296433,2820.27,7.94,75766.28,11.24,Afternoon Off Peak,1:15,75,4500,4.317488114,1:30,90,5400,4.49980967,0:15,15,900,2.708050201,,,
2018,4/6/18,12:58:48,10600 S I15 NB                                              ,PI Crash,2,2,16.08333333,964.9999998,0:12:24,12.4,744,11.2,672,2.415913778,68.36666667,4102,4.224885376,61.8,3708,8.218247927,7,2,5,0.93,0.87,0.286,7343,8.901502757,691.91,6.54,18588.09,9.83,Afternoon Off Peak,1:00,60,3600,4.094344562,1:10,70,4200,4.248495242,0:10,10,600,2.302585093,,,
2018,4/10/18,15:48:28,2961 S I15 NB                                               ,PD Crash,1,4,22.51666667,1351,0:16:29,16.48,989,43.16666667,2590,3.765068593,43.16666667,2590,3.765068593,88.7,5322,8.579604452,6,2,4,2,0.67,0.333,6307,8.749415407,747.17,6.62,19604.49,9.88,Afternoon Off Peak,0:18,18,1080,2.890371758,1:05,65,3900,4.17438727,0:47,47,2820,3.850147602,,,
2018,4/10/18,16:41:34,281930 I15 NB                                               ,PD Crash,2,2,14.21666667,853.0000002,0:05:03,5.05,303,10.43333333,625.9999998,2.345005809,61.91666667,3715,4.125789395,67.83,4070,8.311398278,7,1,6,1,0.86,0.143,9934,9.203718496,603.58,6.4,15639.04,9.66,PM Peak,0:53,53,3180,3.970291914,1:10,70,4200,4.248495242,0:17,17,1020,2.833213344,,,
2018,4/10/18,17:21:07,1767 S I215W SB                                             ,PI Crash,2,4,,0,0:07:11,7.18,431,9.783333333,587,2.280680258,9.783333333,587,2.280680258,76.87,4612,8.436416881,4,2,2,2,0.5,0.5,1783,7.486052618,39.71,3.68,1017.87,6.93,PM Peak,0:04,4,240,1.386294361,0:15,15,900,2.708050201,0:11,11,660,2.397895273,,,
2018,4/10/18,16:15:43,7800 S I15 NB                                               ,PD Crash,2,6,25.53333333,1532,0:08:06,8.1,486,43.28333333,2597,3.767767649,124.1833333,7450.999998,4.821758968,124.18,7451,8.916103531,6,2,4,,,0.333,14081,9.55258165,4641.95,8.44,120275.06,11.7,PM Peak,0:56,56,3360,4.025351691,1:40,100,6000,4.605170186,0:44,44,2640,3.784189634,,,
